,Country Name,region,sub-region,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Australia,Oceania,Australia and New Zealand,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17381.4400129867,17836.1740048755,18254.3578855016,19216.5661947223,20170.957675197,21037.2241707189,22130.4774533638,23123.4268586218,24377.4178638635,25468.2183053741,26521.0784018233,27626.0599698301,29016.6783446771,30106.2907018786,31746.5324539484,33018.163222623,34822.9751646044,36628.96879145,37517.8538515397,40306.6427837685,39363.6180573612,42018.1179436528,42847.2967465311,45907.7546796056,46882.1855716637,46251.4086848715,47249.4348152753,48400.2457875228,50192.9573282841,51909.0151023258,53066.4909886668,55947.0522280521
11,Austria,Europe,Western Europe,AUT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19473.0819594859,20617.5829787127,21293.2648588333,21732.8710942007,22642.8477256733,23698.109130502,24560.6240085942,25426.662812476,26675.6502354234,27606.4830303088,29381.6848770115,29708.49357024,31178.6933297272,32145.8705108106,33774.0180945488,35013.7140443423,37659.732973109,39435.60573762,41316.225176699,40918.5200993586,42007.2937461255,44452.7327457999,46457.3457770311,47922.0491207455,48799.7154676985,49865.9039424185,52684.0171130768,54172.9867888254,56960.0914258929,59756.6865499955,56999.9398541031,59552.6542830964
12,Azerbaijan,Asia,Western Asia,AZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253.44660826408,5321.81099375037,4149.74660557513,3217.65149470211,2603.60192877256,2317.59069546393,2366.63815438445,2522.62837120686,2779.61552655268,3000.92505671238,3381.66620983258,3770.85228711686,4159.94056320335,4639.79442615882,5159.85941090733,6740.4240629969,9243.49764554313,11732.8414907335,12969.2003782405,13972.5947839401,14678.7737395302,14804.5744507911,15957.7188502849,17188.9455056612,17443.8782563094,14938.4011276715,14371.0227410092,14121.4069355591,14549.0618972126,15051.5612816033,14478.5244519377,15854.5508382533
13,Bahrain,Asia,Western Asia,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25731.1649187926,28594.0918342748,30129.9623716511,33643.6304591696,33149.5742476964,34045.3942781628,34962.9567076082,35548.6561420837,36559.2764541062,37570.9167849775,39360.4320898099,40186.9453085917,41161.5625780613,42900.8133510832,44006.7127561133,44780.1156664312,45651.591942431,47380.1664464359,48078.8438742404,46708.7358567087,47929.443463014,49960.2678680839,53778.4886740831,53672.1042194471,52073.9846164495,45900.7030253586,45281.3019203255,48929.4470119951,50106.7863992199,51869.4554543792,50468.2538003506,54256.7714345513
14,Bangladesh,Asia,Southern Asia,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979.948003418894,1028.28858970224,1088.74013682352,1144.97083250575,1191.83518519025,1255.4876301115,1313.07393811762,1370.95971760906,1431.06189691372,1490.19028016809,1574.33157000775,1659.71135593413,1717.97006166662,1803.13815313436,1916.45203805736,2074.01158542506,2253.20981718595,2451.54221317623,2625.40635940305,2751.2178775571,2906.05192049693,3119.92997298099,3493.92282116642,3734.72565095224,3997.28670058811,4216.71973916456,4558.56389477538,4830.7760826813,5246.92358804758,5697.9492180924,5897.58894780473,6493.80939271608
15,Barbados,Americas,Latin America and the Caribbean,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9647.54639731515,9565.10321543554,9197.45960887253,9461.67074937887,9831.0262567862,10216.2511689052,10796.8233846464,11484.7770833201,12027.9671078777,12213.8278270122,13022.0096218854,12965.1468121475,13217.201339349,13717.521690709,14231.0706191453,15202.8525992517,16571.6326649349,17307.8720644454,17675.1852019102,16824.5570813662,16568.3689564998,16749.0393461095,15726.2358029347,15747.1370908403,15575.9507292616,15947.4215222808,16370.7456228065,16198.9621604366,16386.1913227355,16628.1685712154,14561.8592495757,15110.9573312342
16,Belarus,Europe,Eastern Europe,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5226.139654438,5335.57880421631,4922.4572163464,4645.89357402675,4194.88109419707,3849.89723270291,4043.74990480274,4601.50308460716,5066.94283697859,5337.01583982897,5801.75812955794,6244.74774377741,6704.59227948782,7369.84590615975,8491.89483925911,9647.1211805994,11006.4559116376,12332.50291934,13898.9996765798,14050.5715635795,15361.8317068326,16563.2014078209,18105.2867180444,18994.1901887615,19008.0610153147,18095.6651782737,17785.9431970966,18356.1007741722,19428.0074589115,20092.8803713875,20278.4739462373,21698.5740886624
17,Belgium,Europe,Western Europe,BEL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18688.6467366551,19601.8239024872,20272.9885926744,20473.7868382439,21519.3380677459,22447.4638004465,22744.6996622345,23732.2210706898,24369.4867183382,25440.8411888638,27789.9435461287,28793.6110538361,30282.2886450283,30934.4414026198,32063.2607941715,33177.8909458158,35256.9283814906,36795.8471504369,37883.3319417819,37749.9091897753,39838.040511042,40942.372710454,42290.7620520019,43671.11959259,44929.685593416,46200.904454307,48597.3999826201,50442.2705419624,52535.23221854,55753.8494538306,54202.5200672849,59387.880265448
18,Belize,Americas,Latin America and the Caribbean,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4531.42366199298,5112.74534218285,5740.60689917084,6118.51529464146,6127.7313450876,6137.28124174879,6124.78279837328,6237.3647175232,6328.21897232367,6756.76285163768,7559.29595353417,7867.53701468187,8139.93002288877,8799.76901844963,9171.967861638,9383.18477147453,9823.53698899048,10123.3439800478,9878.20697420947,9628.79510749406,9623.86868033156,9592.13083070436,9113.47485341427,9314.22500902774,9246.7237525975,9317.19683592962,9161.6250471445,8873.7540251936,9008.73661819419,9409.59779932607,8124.9839324682,9626.57357080288
19,Benin,Africa,Sub-Saharan Africa,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.21458185828,1275.135741128,1302.24047956983,1349.49034534688,1354.59080377176,1436.73762604785,1487.59807779095,1554.14549343527,1584.96540576118,1642.173164791,1724.54671037395,1802.32459760145,1858.76676518554,1902.50292259119,1979.29289911841,2011.39667736316,2090.28425488276,2210.7927096781,2294.86987751056,2294.60279263052,2302.6877910018,2350.35645152303,2427.43265922317,2590.92504537631,2745.85861163361,2792.60964526702,2901.26467091701,2933.8373843172,3112.79745336659,3289.65516924035,3360.98741640516,3649.04065049671
